"Gas Natural","COMBUSTIONFIJA", "1","ANUAL","2022"
"Diesel", "COMBUSTIONFIJA", "0","MENSUAL","05/2021"
"Nafta", "COMBUSTIONFIJA", "0","MENSUAL","05/2021"
"Carbon", "COMBUSTIONFIJA", "2","ANUAL","2022"
"Combustible consumido - Gasoil", "COMBUSTIONMOVIL", "0","MENSUAL","05/2021"
"Combustible consumido - Nafta", "COMBUSTIONMOVIL", "0","ANUAL","2021"
"Electricidad", "ELECTRICIDAD","0","MENSUAL","05/2021"
"Medio de transporte", "LOGISTICA", "CAMION", "MENSUAL", "05/2021"
"Medio de transporte", "LOGISTICA", "ULTRALIVIANO", "ANUAL", "2022"
"Distancia Media Recorrida", "LOGISTICA", "0", "MENSUAL", "05/2021"
